A: Trend scenario: 88-99ha,,,,,
Sustainability objective,Impact,Comment,,,
,ST,MT,LT,P/T,
Biodiversity,-,-,-,P,"Employment development may result in adverse impacts upon designated wildlife sites and ecological corridors, adversely affecting biodiversity."
Soil,-,-,-,P,Employment development may result in the loss of high grade agricultural land and cause harm to areas of geological conservation interest.
Water,-,-,-,P,"Employment development may adversely affect the chemical and ecological status of water, and contribute to groundwater inundation."
Air,-,-,-,P,Employment development may result in adverse impacts upon air quality.
Climate Change,-,-,-,P,Increased energy consumption and the emission of greenhouse gases from high levels of development.
Flooding & Coastal Change,-,-,-,P,Employment development may expose people and property to flooding or coastal change.
Landscape,-,-,-,P,"Employment development may cause harm to valued landscapes, the AONBs, Dorset and East Devon World Heritage Site and the Greenbelt."
Historic Environment,-,-,-,P,Employment development may result in adverse impacts upon heritage assets and their setting.
Community,0,0,0,P,Employment development is unlikely to appreciably affect wellbeing and healthy communities.
Housing,0,0,0,P,The level of employment development is unlikely to appreciably affect the supply of housing.
Economy,+,+,+,P,"Applying the trend scenario would provide employment land based on modelled employment growth rates with some adjustments for local knowledge, but does not take into account the housing growth. "
,,,,,
B: Growth scenario: 131-151ha,,,,,
Sustainability objective,Impact,Comment,,,
,ST,MT,LT,P/T,
Biodiversity,-,-,-,P,"Employment development may result in adverse impacts upon designated wildlife sites and ecological corridors, adversely affecting biodiversity."
Soil,-,-,-,P,Employment development may result in the loss of high grade agricultural land and cause harm to areas of geological conservation interest.
Water,-,-,-,P,"Employment development may adversely affect the chemical and ecological status of water, and contribute to groundwater inundation."
Air,-,-,-,P,Employment development may result in adverse impacts upon air quality.
Climate Change,-,-,-,P,Increased energy consumption and the emission of greenhouse gases from high levels of development.
Flooding & Coastal Change,-,-,-,P,Employment development may expose people and property to flooding or coastal change.
Landscape,-,-,-,P,"Employment development may cause harm to valued landscapes, the AONBs, Dorset and East Devon World Heritage Site and the Greenbelt."
Historic Environment,-,-,-,P,Employment development may result in adverse impacts upon heritage assets and their setting.
Community,0,0,0,P,Employment development is unlikely to appreciably affect wellbeing and healthy communities.
Housing,0,0,0,P,The level of employment development is unlikely to appreciably affect the supply of housing.
Economy,++,++,++,P,"Applying the growth scenario would provide employment land to meet the employment needs taking into account housing growth, providing sufficient employment land/infrastructure to support the growth, innovation and productivity of businesses."
,,,,,
Option 1: Former district council adopted Local Plans,,,,,
Sustainability objective,Impact,Comment,,,
,ST,MT,LT,P/T,
Biodiversity,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect biodiversity. 
Soil,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect soil quality.
Water,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect water quality.
Air,-,-,-,P,"Population of settlements and accessibility is not fully considered, potentially resulting in residents in more remote locations with fewer local facilities. This may require more travel by motor vehicle, adversely affecting air quality."
Climate Change,-,-,-,P,"Population of settlements and accessibility is not fully considered, potentially resulting in residents in more remote locations with fewer local facilities. This may require more travel by motor vehicle, resulting in greater greenhouse gas emissions."
Flooding & Coastal Change,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect exposure to flooding or coastal change. 
Landscape,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect valued landscapes.
Historic Environment,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect heritage assets.
Community,-,-,-,P,"Population of settlements and accessibility is not fully considered, potentially resulting in rural isolation."
Housing,-,-,-,P,This approach would direct housing to less sustainable locations.
Economy,-,-,-,P,This approach is considered likely to direct employment land towards less sustainable locations.
,,,,,
"Option 2: Towns and Villages of population 1,000+",,,,,
Sustainability objective,Impact,Comment,,,
,ST,MT,LT,P/T,
Biodiversity,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect biodiversity. 
Soil,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect soil quality.
Water,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect water quality.
Air,0,0,0,P,"Whilst accessibility is not considered, this approach includes settlements of more than 1000 population which are likely to have greater facilities and therefore not require excess travel by car. The effect on air quality is therefore neutral."
Climate Change,0,0,0,P,"Whilst accessibility is not considered, this approach includes settlements of more than 1000 population which are likely to have greater facilities and therefore not require excess travel by car. The effect on greenhouse gas emissions is therefore neutral."
Flooding & Coastal Change,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect exposure to flooding or coastal change. 
Landscape,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect valued landscapes.
