Council Selections
B: Growth scenario: 131-151ha
Option 4: Towns and refined villages of population 500+
A: Restrict development in CCMA according to CRPG recommendations
"A: Apply the optional lower threshold at 5 units in ""Rural Areas"""
B: Continue considering low impact dwellings under the same framework as conventional dwellings
B: Apply the identified key employment sites
B: Provide support for renewable energy and heat development and identify areas for large scale renewable energy development
CM(BP)C
CM(BP)D
CM(BP)E
CM(BP)F
CM(BP)G
01_CM
03_CM
BLAND A
BLAND B
BLAND E
01_BLFO
02_BLFO
03_BLFO
FWPWM C
FWPWM H
FWPWM J
FWPWM K
02_FDWP
03_FDWP
08_FDWP
09_FDWP
11_FDWP
12_FDWP
01_WESM
STLSTI A
STLSTI H
SWAN C
SWAN D
SWAN E
SWAN H
03_SWAN
VER A
VER B
VER C
THLC A
THLC D
THLC E
02_VER
WARE I
WARE P
WARE Q
WIM A
WIM B
WIM C
WIM D
WIM E
WIM I
04_WIM
10_COLE
11_COLE
12_COLE
13_COLE
ALD A
ALD B
ALD C
ALD D
ALD E
ALD F
ALD G
ALD H
LYTM A 
LYTM B
LYTM C 
LYTM D
LYTM E
LYTM F
LYTM G
LYTM H
LYTM I
LYTM J
LYTM K
LYTM L
LYTM N
02_LYTM
04_LYTM
06_LYTM
STUR B
STUR C
STUR E
STUR F
STUR G
STUR H
01_STMA
02_STMA
03_STMA
WOL C
WOL F
WOL G
WOL H
WOL I
WOL J
WOL K
01_WOOL
03_WOOL
DORCH A
DORCH D
DORCH E
DORCH F
DORCH G
DORCH H
01_DOR
02_DOR
03_DOR
05_DOR
01_CHAR
02_CHAR
WEY E
WEY G
WEY K
05_WEY
WEY L
WEY N
04_WEY
PORT I
PORT M
CROS A
CROS C
CROS F
CROS G
01_CROS
02_CROS
04_CROS
GILL I
GILL H
01_GILL
02_GILL
SHAF A
SHER A
SHER E
SHER F
YEO B
02_SHER
03_SHER
04_SHER
STAL B
STAL C
01_STAL
02_STAL
BEAM B
BEAM C
BEAM F
BEAM G
BEAM H
BEAM I
01_BEAM
BRID A
BRID B
BRID C
BRID E
BRID F
BRID H
BRID J
BRID K
LYME B
LYME C
02_LYME
